"2023-05-04 16:10:22,522 [INFO] Reporter Initialized!
"2023-05-04 16:10:22,522 [INFO] Reporter LEVEL: info
"2023-05-04 16:10:23,954 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 16:10:25,172 [INFO] None
"2023-05-04 16:10:25,172 [INFO] Device(cuda) is working for train
"2023-05-04 16:10:25,172 [INFO] Train Started
"2023-05-04 16:10:25,186 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/0.onnx
"2023-05-04 16:10:25,186 [INFO] ===== Saved non-trained network
"2023-05-04 16:10:25,186 [INFO] EPISODE 0, LOSS 3.7300918102264404
"2023-05-04 16:10:25,426 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/2.onnx
"2023-05-04 16:10:25,529 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/5.onnx
"2023-05-04 16:10:25,568 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/6.onnx
"2023-05-04 16:10:25,697 [INFO] EPISODE 10, LOSS 0.07628976553678513
"2023-05-04 16:10:25,771 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/11.onnx
"2023-05-04 16:10:25,907 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/15.onnx
"2023-05-04 16:10:26,059 [INFO] EPISODE 20, LOSS 0.030918439850211143
"2023-05-04 16:10:26,393 [INFO] EPISODE 30, LOSS 0.048923611640930176
"2023-05-04 16:10:26,491 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/32.onnx
"2023-05-04 16:10:26,522 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/33.onnx
"2023-05-04 16:10:26,691 [INFO] EPISODE 40, LOSS 0.01526657398790121
"2023-05-04 16:10:26,947 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/49.onnx
"2023-05-04 16:10:26,973 [INFO] EPISODE 50, LOSS 0.01225435920059681
"2023-05-04 16:10:27,156 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/56.onnx
"2023-05-04 16:10:27,291 [INFO] EPISODE 60, LOSS 0.02428477630019188
"2023-05-04 16:10:27,378 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/62.onnx
"2023-05-04 16:10:27,570 [INFO] EPISODE 70, LOSS 0.03479517623782158
"2023-05-04 16:10:27,843 [INFO] EPISODE 80, LOSS 0.03081875666975975
"2023-05-04 16:10:27,930 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/82.onnx
"2023-05-04 16:10:28,129 [INFO] EPISODE 90, LOSS 0.023987477645277977
"2023-05-04 16:10:28,422 [INFO] EPISODE 100, LOSS 0.016913890838623047
"2023-05-04 16:10:28,483 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/101.onnx
"2023-05-04 16:10:28,538 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/103.onnx
"2023-05-04 16:10:28,713 [INFO] EPISODE 110, LOSS 0.030658109113574028
"2023-05-04 16:10:28,971 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/119.onnx
"2023-05-04 16:10:28,997 [INFO] EPISODE 120, LOSS 0.008605806156992912
"2023-05-04 16:10:29,269 [INFO] EPISODE 130, LOSS 0.01364040281623602
"2023-05-04 16:10:29,588 [INFO] EPISODE 140, LOSS 0.00709888618439436
"2023-05-04 16:10:29,795 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/147.onnx
"2023-05-04 16:10:29,868 [INFO] EPISODE 150, LOSS 0.022529244422912598
"2023-05-04 16:10:30,196 [INFO] EPISODE 160, LOSS 0.02166227623820305
"2023-05-04 16:10:30,549 [INFO] EPISODE 170, LOSS 0.0039982907474040985
"2023-05-04 16:10:30,848 [INFO] EPISODE 180, LOSS 0.005439463537186384
"2023-05-04 16:10:30,994 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/184.onnx
"2023-05-04 16:10:31,160 [INFO] EPISODE 190, LOSS 0.014802045188844204
"2023-05-04 16:10:31,436 [INFO] EPISODE 200, LOSS 0.008203286677598953
"2023-05-04 16:10:31,742 [INFO] EPISODE 210, LOSS 0.0023577152751386166
"2023-05-04 16:10:31,804 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/211.onnx
"2023-05-04 16:10:32,021 [INFO] EPISODE 220, LOSS 0.014758041128516197
"2023-05-04 16:10:32,299 [INFO] EPISODE 230, LOSS 0.00968525093048811
"2023-05-04 16:10:32,606 [INFO] EPISODE 240, LOSS 0.0020175380632281303
"2023-05-04 16:10:32,883 [INFO] EPISODE 250, LOSS 0.011163776740431786
"2023-05-04 16:10:33,158 [INFO] EPISODE 260, LOSS 0.009775039739906788
"2023-05-04 16:10:33,434 [INFO] EPISODE 270, LOSS 0.018158849328756332
"2023-05-04 16:10:33,737 [INFO] EPISODE 280, LOSS 0.00203865859657526
"2023-05-04 16:10:34,015 [INFO] EPISODE 290, LOSS 0.007801902946084738
"2023-05-04 16:10:34,294 [INFO] EPISODE 300, LOSS 0.021311519667506218
"2023-05-04 16:10:34,572 [INFO] EPISODE 310, LOSS 0.007865769788622856
"2023-05-04 16:10:34,868 [INFO] EPISODE 320, LOSS 0.0018763717962428927
"2023-05-04 16:10:35,139 [INFO] EPISODE 330, LOSS 0.0064574070274829865
"2023-05-04 16:10:35,413 [INFO] EPISODE 340, LOSS 0.009296393021941185
"2023-05-04 16:10:35,690 [INFO] EPISODE 350, LOSS 0.0015499088913202286
"2023-05-04 16:10:35,981 [INFO] EPISODE 360, LOSS 0.0022530551068484783
"2023-05-04 16:10:36,324 [INFO] EPISODE 370, LOSS 0.002358026569709182
"2023-05-04 16:10:36,648 [INFO] EPISODE 380, LOSS 0.005857820622622967
"2023-05-04 16:10:37,001 [INFO] EPISODE 390, LOSS 0.002247447846457362
"2023-05-04 16:10:37,338 [INFO] EPISODE 400, LOSS 0.0016109002754092216
"2023-05-04 16:10:37,651 [INFO] EPISODE 410, LOSS 0.0007645022124052048
"2023-05-04 16:10:37,967 [INFO] EPISODE 420, LOSS 0.004003953188657761
"2023-05-04 16:10:38,279 [INFO] EPISODE 430, LOSS 0.0031543306540697813
"2023-05-04 16:10:38,572 [INFO] EPISODE 440, LOSS 0.0010625660652294755
"2023-05-04 16:10:38,858 [INFO] EPISODE 450, LOSS 0.0038525487761944532
"2023-05-04 16:10:39,146 [INFO] EPISODE 460, LOSS 0.0019123591482639313
"2023-05-04 16:10:39,234 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/462.onnx
"2023-05-04 16:10:39,435 [INFO] EPISODE 470, LOSS 0.0009478249121457338
"2023-05-04 16:10:39,712 [INFO] EPISODE 480, LOSS 0.002276375889778137
"2023-05-04 16:10:40,034 [INFO] EPISODE 490, LOSS 0.004067206289619207
"2023-05-04 16:10:40,321 [INFO] EPISODE 500, LOSS 0.007769688032567501
"2023-05-04 16:10:40,602 [INFO] EPISODE 510, LOSS 0.001860736752860248
"2023-05-04 16:10:40,687 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/512.onnx
"2023-05-04 16:10:40,883 [INFO] EPISODE 520, LOSS 0.009164905175566673
