"2023-05-07 19:28:09,900 [INFO] Reporter Initialized!
"2023-05-07 19:28:09,900 [INFO] Reporter LEVEL: info
"2023-05-07 19:28:10,264 [INFO] Loaded csv data is 0507_0621PM
"2023-05-07 19:28:13,415 [INFO] None
"2023-05-07 19:28:13,415 [INFO] Device(cuda) is working for train
"2023-05-07 19:28:13,415 [INFO] Train Started
"2023-05-07 19:28:13,456 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/0.onnx
"2023-05-07 19:28:13,456 [INFO] ===== Saved non-trained network
"2023-05-07 19:28:13,456 [INFO] EPISODE 0, LOSS 3048.907958984375
"2023-05-07 19:28:13,890 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/2.onnx
"2023-05-07 19:28:14,051 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/3.onnx
"2023-05-07 19:28:14,844 [INFO] EPISODE 10, LOSS 2059.315673828125
"2023-05-07 19:28:15,939 [INFO] EPISODE 20, LOSS 2323.10400390625
"2023-05-07 19:28:16,958 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/29.onnx
"2023-05-07 19:28:17,064 [INFO] EPISODE 30, LOSS 3432.744140625
"2023-05-07 19:28:18,191 [INFO] EPISODE 40, LOSS 3160.228515625
"2023-05-07 19:28:19,277 [INFO] EPISODE 50, LOSS 1700.0687255859375
"2023-05-07 19:28:20,330 [INFO] EPISODE 60, LOSS 1562.930419921875
"2023-05-07 19:28:21,744 [INFO] EPISODE 70, LOSS 2998.884765625
"2023-05-07 19:28:23,024 [INFO] EPISODE 80, LOSS 1564.128662109375
"2023-05-07 19:28:23,322 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/82.onnx
"2023-05-07 19:28:24,554 [INFO] EPISODE 90, LOSS 4983.5791015625
"2023-05-07 19:28:26,049 [INFO] EPISODE 100, LOSS 4171.89794921875
"2023-05-07 19:28:27,206 [INFO] EPISODE 110, LOSS 3089.22705078125
"2023-05-07 19:28:28,335 [INFO] EPISODE 120, LOSS 2607.219970703125
"2023-05-07 19:28:29,511 [INFO] EPISODE 130, LOSS 3697.35693359375
"2023-05-07 19:28:30,634 [INFO] EPISODE 140, LOSS 2601.135986328125
"2023-05-07 19:28:31,725 [INFO] EPISODE 150, LOSS 576.4710693359375
"2023-05-07 19:28:32,895 [INFO] EPISODE 160, LOSS 2072.58056640625
"2023-05-07 19:28:34,014 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/170.onnx
"2023-05-07 19:28:34,014 [INFO] EPISODE 170, LOSS 494.06072998046875
"2023-05-07 19:28:35,112 [INFO] EPISODE 180, LOSS 2297.779541015625
"2023-05-07 19:28:36,211 [INFO] EPISODE 190, LOSS 1367.443359375
"2023-05-07 19:28:37,316 [INFO] EPISODE 200, LOSS 1020.685546875
"2023-05-07 19:28:38,399 [INFO] EPISODE 210, LOSS 792.0772705078125
"2023-05-07 19:28:39,485 [INFO] EPISODE 220, LOSS 1352.6370849609375
"2023-05-07 19:28:40,502 [INFO] EPISODE 230, LOSS 2556.518310546875
"2023-05-07 19:28:41,629 [INFO] EPISODE 240, LOSS 1117.90869140625
"2023-05-07 19:28:42,714 [INFO] EPISODE 250, LOSS 2508.74658203125
"2023-05-07 19:28:43,821 [INFO] EPISODE 260, LOSS 2569.716796875
"2023-05-07 19:28:45,016 [INFO] EPISODE 270, LOSS 862.6463623046875
"2023-05-07 19:28:46,259 [INFO] EPISODE 280, LOSS 726.6508178710938
"2023-05-07 19:28:47,402 [INFO] EPISODE 290, LOSS 1505.2884521484375
"2023-05-07 19:28:48,586 [INFO] EPISODE 300, LOSS 3115.046875
"2023-05-07 19:28:49,716 [INFO] EPISODE 310, LOSS 2313.288330078125
"2023-05-07 19:28:50,786 [INFO] EPISODE 320, LOSS 3041.05859375
"2023-05-07 19:28:51,836 [INFO] EPISODE 330, LOSS 2037.3973388671875
"2023-05-07 19:28:52,951 [INFO] EPISODE 340, LOSS 2755.7744140625
"2023-05-07 19:28:54,043 [INFO] EPISODE 350, LOSS 1856.1029052734375
"2023-05-07 19:28:55,212 [INFO] EPISODE 360, LOSS 3878.2802734375
"2023-05-07 19:28:56,362 [INFO] EPISODE 370, LOSS 3023.693115234375
"2023-05-07 19:28:57,497 [INFO] EPISODE 380, LOSS 3055.199951171875
"2023-05-07 19:28:58,636 [INFO] EPISODE 390, LOSS 2236.913818359375
"2023-05-07 19:28:59,760 [INFO] EPISODE 400, LOSS 1175.920654296875
"2023-05-07 19:29:00,936 [INFO] EPISODE 410, LOSS 1836.96240234375
"2023-05-07 19:29:01,952 [INFO] EPISODE 420, LOSS 931.837158203125
"2023-05-07 19:29:03,051 [INFO] EPISODE 430, LOSS 753.9638671875
"2023-05-07 19:29:04,148 [INFO] EPISODE 440, LOSS 957.65771484375
"2023-05-07 19:29:05,313 [INFO] EPISODE 450, LOSS 3095.123779296875
"2023-05-07 19:29:06,414 [INFO] EPISODE 460, LOSS 3446.125
"2023-05-07 19:29:07,559 [INFO] EPISODE 470, LOSS 3673.283203125
"2023-05-07 19:29:08,684 [INFO] EPISODE 480, LOSS 3818.153076171875
"2023-05-07 19:29:09,820 [INFO] EPISODE 490, LOSS 1622.6141357421875
"2023-05-07 19:29:11,004 [INFO] EPISODE 500, LOSS 1984.909423828125
"2023-05-07 19:29:12,211 [INFO] EPISODE 510, LOSS 3355.62451171875
"2023-05-07 19:29:13,291 [INFO] EPISODE 520, LOSS 918.436767578125
"2023-05-07 19:29:14,354 [INFO] EPISODE 530, LOSS 1887.7080078125
"2023-05-07 19:29:15,522 [INFO] EPISODE 540, LOSS 820.7913818359375
"2023-05-07 19:29:16,872 [INFO] EPISODE 550, LOSS 944.3172607421875
"2023-05-07 19:29:18,315 [INFO] EPISODE 560, LOSS 2425.087158203125
"2023-05-07 19:29:19,520 [INFO] EPISODE 570, LOSS 1835.1741943359375
"2023-05-07 19:29:20,676 [INFO] EPISODE 580, LOSS 2464.3701171875
