"2023-05-04 21:10:55,529 [INFO] Reporter Initialized!
"2023-05-04 21:10:55,529 [INFO] Reporter LEVEL: info
"2023-05-04 21:10:57,349 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 21:10:58,388 [INFO] None
"2023-05-04 21:10:58,389 [INFO] Device(cuda) is working for train
"2023-05-04 21:10:58,389 [INFO] Train Started
"2023-05-04 21:10:58,404 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/0.onnx
"2023-05-04 21:10:58,404 [INFO] ===== Saved non-trained network
"2023-05-04 21:10:58,404 [INFO] EPISODE 0, LOSS 3.4251151084899902
"2023-05-04 21:10:58,645 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/2.onnx
"2023-05-04 21:10:58,726 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/4.onnx
"2023-05-04 21:10:58,771 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/5.onnx
"2023-05-04 21:10:58,807 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/6.onnx
"2023-05-04 21:10:58,871 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/8.onnx
"2023-05-04 21:10:58,933 [INFO] EPISODE 10, LOSS 0.11319944262504578
"2023-05-04 21:10:59,243 [INFO] EPISODE 20, LOSS 0.08949343860149384
"2023-05-04 21:10:59,425 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/25.onnx
"2023-05-04 21:10:59,491 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/27.onnx
"2023-05-04 21:10:59,578 [INFO] EPISODE 30, LOSS 0.02185889333486557
"2023-05-04 21:10:59,892 [INFO] EPISODE 40, LOSS 0.024334248155355453
"2023-05-04 21:11:00,098 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/46.onnx
"2023-05-04 21:11:00,204 [INFO] EPISODE 50, LOSS 0.04252038523554802
"2023-05-04 21:11:00,533 [INFO] EPISODE 60, LOSS 0.02694777399301529
"2023-05-04 21:11:00,708 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/65.onnx
"2023-05-04 21:11:00,844 [INFO] EPISODE 70, LOSS 0.05117257684469223
"2023-05-04 21:11:01,140 [INFO] EPISODE 80, LOSS 0.012950485572218895
"2023-05-04 21:11:01,462 [INFO] EPISODE 90, LOSS 0.02282121032476425
"2023-05-04 21:11:01,755 [INFO] EPISODE 100, LOSS 0.01941475085914135
"2023-05-04 21:11:01,984 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/107.onnx
"2023-05-04 21:11:02,069 [INFO] EPISODE 110, LOSS 0.060255758464336395
"2023-05-04 21:11:02,361 [INFO] EPISODE 120, LOSS 0.03561253473162651
"2023-05-04 21:11:02,696 [INFO] EPISODE 130, LOSS 0.028619399294257164
"2023-05-04 21:11:02,990 [INFO] EPISODE 140, LOSS 0.01884957030415535
"2023-05-04 21:11:03,142 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/144.onnx
"2023-05-04 21:11:03,307 [INFO] EPISODE 150, LOSS 0.012241840362548828
"2023-05-04 21:11:03,688 [INFO] EPISODE 160, LOSS 0.012173193506896496
"2023-05-04 21:11:04,006 [INFO] EPISODE 170, LOSS 0.04068140685558319
"2023-05-04 21:11:04,325 [INFO] EPISODE 180, LOSS 0.015153269283473492
"2023-05-04 21:11:04,669 [INFO] EPISODE 190, LOSS 0.03098607063293457
"2023-05-04 21:11:04,771 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/192.onnx
"2023-05-04 21:11:05,023 [INFO] EPISODE 200, LOSS 0.028230786323547363
"2023-05-04 21:11:05,342 [INFO] EPISODE 210, LOSS 0.029679199680685997
"2023-05-04 21:11:05,666 [INFO] EPISODE 220, LOSS 0.020130379125475883
"2023-05-04 21:11:05,997 [INFO] EPISODE 230, LOSS 0.01890939474105835
"2023-05-04 21:11:06,313 [INFO] EPISODE 240, LOSS 0.018125511705875397
"2023-05-04 21:11:06,611 [INFO] EPISODE 250, LOSS 0.02318584732711315
"2023-05-04 21:11:06,947 [INFO] EPISODE 260, LOSS 0.008864070288836956
"2023-05-04 21:11:07,246 [INFO] EPISODE 270, LOSS 0.039549775421619415
"2023-05-04 21:11:07,534 [INFO] EPISODE 280, LOSS 0.05733414739370346
"2023-05-04 21:11:07,855 [INFO] EPISODE 290, LOSS 0.010562354698777199
"2023-05-04 21:11:08,151 [INFO] EPISODE 300, LOSS 0.011240113526582718
"2023-05-04 21:11:08,447 [INFO] EPISODE 310, LOSS 0.01445651613175869
"2023-05-04 21:11:08,627 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/315.onnx
"2023-05-04 21:11:08,757 [INFO] EPISODE 320, LOSS 0.005054089240729809
"2023-05-04 21:11:09,098 [INFO] EPISODE 330, LOSS 0.009276771917939186
"2023-05-04 21:11:09,398 [INFO] EPISODE 340, LOSS 0.0037173114251345396
"2023-05-04 21:11:09,695 [INFO] EPISODE 350, LOSS 0.00846569612622261
"2023-05-04 21:11:10,015 [INFO] EPISODE 360, LOSS 0.019105089828372
"2023-05-04 21:11:10,308 [INFO] EPISODE 370, LOSS 0.010983765125274658
"2023-05-04 21:11:10,669 [INFO] EPISODE 380, LOSS 0.010996008291840553
"2023-05-04 21:11:11,069 [INFO] EPISODE 390, LOSS 0.0043389322236180305
"2023-05-04 21:11:11,406 [INFO] EPISODE 400, LOSS 0.004915353376418352
"2023-05-04 21:11:11,736 [INFO] EPISODE 410, LOSS 0.006905390881001949
"2023-05-04 21:11:12,088 [INFO] EPISODE 420, LOSS 0.009154925122857094
"2023-05-04 21:11:12,417 [INFO] EPISODE 430, LOSS 0.007707302458584309
"2023-05-04 21:11:12,749 [INFO] EPISODE 440, LOSS 0.006792978849261999
"2023-05-04 21:11:13,096 [INFO] EPISODE 450, LOSS 0.012421205639839172
"2023-05-04 21:11:13,421 [INFO] EPISODE 460, LOSS 0.007122544106096029
"2023-05-04 21:11:13,757 [INFO] EPISODE 470, LOSS 0.016056042164564133
"2023-05-04 21:11:14,090 [INFO] EPISODE 480, LOSS 0.01474994421005249
