"2023-05-08 15:39:47,303 [INFO] Reporter Initialized!
"2023-05-08 15:39:47,303 [INFO] Reporter LEVEL: info
"2023-05-08 15:39:47,687 [INFO] Loaded csv data is 0507_0746PM
"2023-05-08 15:39:49,171 [INFO] None
"2023-05-08 15:39:49,171 [INFO] Device(cuda) is working for train
"2023-05-08 15:39:49,171 [INFO] Train Started
"2023-05-08 15:39:49,208 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/0.onnx
"2023-05-08 15:39:49,208 [INFO] ===== Saved non-trained network
"2023-05-08 15:39:49,208 [INFO] EPISODE 0, LOSS 17.73339080810547
"2023-05-08 15:39:49,564 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/2.onnx
"2023-05-08 15:39:49,663 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/3.onnx
"2023-05-08 15:39:50,165 [INFO] EPISODE 10, LOSS 13.14222526550293
"2023-05-08 15:39:50,934 [INFO] EPISODE 20, LOSS 4.554995536804199
"2023-05-08 15:39:51,740 [INFO] EPISODE 30, LOSS 3.6493983268737793
"2023-05-08 15:39:52,560 [INFO] EPISODE 40, LOSS 2.647447347640991
"2023-05-08 15:39:52,697 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/41.onnx
"2023-05-08 15:39:53,390 [INFO] EPISODE 50, LOSS 3.2984976768493652
"2023-05-08 15:39:53,680 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/53.onnx
"2023-05-08 15:39:54,003 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/57.onnx
"2023-05-08 15:39:54,242 [INFO] EPISODE 60, LOSS 19.1313419342041
"2023-05-08 15:39:55,023 [INFO] EPISODE 70, LOSS 1.5308425426483154
"2023-05-08 15:39:55,827 [INFO] EPISODE 80, LOSS 6.229669094085693
"2023-05-08 15:39:56,188 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/84.onnx
"2023-05-08 15:39:56,672 [INFO] EPISODE 90, LOSS 12.005285263061523
"2023-05-08 15:39:57,494 [INFO] EPISODE 100, LOSS 1.7041151523590088
"2023-05-08 15:39:58,242 [INFO] EPISODE 110, LOSS 5.761044979095459
"2023-05-08 15:39:59,041 [INFO] EPISODE 120, LOSS 1.463121771812439
"2023-05-08 15:39:59,842 [INFO] EPISODE 130, LOSS 6.459467887878418
"2023-05-08 15:40:00,430 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/137.onnx
"2023-05-08 15:40:00,724 [INFO] EPISODE 140, LOSS 4.71575927734375
"2023-05-08 15:40:01,533 [INFO] EPISODE 150, LOSS 5.16133451461792
"2023-05-08 15:40:02,568 [INFO] EPISODE 160, LOSS 12.794387817382812
