"2023-05-10 14:38:18,556 [INFO] Reporter Initialized!
"2023-05-10 14:38:18,557 [INFO] Reporter LEVEL: info
"2023-05-10 14:38:18,557 [INFO] Usung random data
"2023-05-10 14:38:19,764 [INFO] None
"2023-05-10 14:38:19,764 [INFO] Device(cuda) is working for train
"2023-05-10 14:38:19,764 [INFO] Train Started
"2023-05-10 14:38:19,784 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/0.onnx
"2023-05-10 14:38:19,784 [INFO] ===== Saved non-trained network
"2023-05-10 14:38:19,784 [INFO] EPISODE 0, LOSS 3.110109329223633
"2023-05-10 14:38:20,019 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/2.onnx
"2023-05-10 14:38:20,069 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/7.onnx
"2023-05-10 14:38:20,093 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/8.onnx
"2023-05-10 14:38:20,114 [INFO] EPISODE 10, LOSS 3.3071563243865967
"2023-05-10 14:38:20,189 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/12.onnx
"2023-05-10 14:38:20,205 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/13.onnx
"2023-05-10 14:38:20,243 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/16.onnx
"2023-05-10 14:38:20,281 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/19.onnx
"2023-05-10 14:38:20,299 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/20.onnx
"2023-05-10 14:38:20,299 [INFO] EPISODE 20, LOSS 0.5468695163726807
"2023-05-10 14:38:20,436 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/28.onnx
"2023-05-10 14:38:20,454 [INFO] EPISODE 30, LOSS 0.9449323415756226
"2023-05-10 14:38:20,599 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/40.onnx
"2023-05-10 14:38:20,599 [INFO] EPISODE 40, LOSS 0.3585122525691986
"2023-05-10 14:38:20,666 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/41.onnx
"2023-05-10 14:38:20,683 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/42.onnx
"2023-05-10 14:38:20,707 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/44.onnx
"2023-05-10 14:38:20,723 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/45.onnx
"2023-05-10 14:38:20,767 [INFO] EPISODE 50, LOSS 0.45462363958358765
"2023-05-10 14:38:20,907 [INFO] EPISODE 60, LOSS 0.253451406955719
"2023-05-10 14:38:21,042 [INFO] EPISODE 70, LOSS 0.469357967376709
"2023-05-10 14:38:21,142 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/74.onnx
"2023-05-10 14:38:21,194 [INFO] EPISODE 80, LOSS 0.36876532435417175
"2023-05-10 14:38:21,334 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/88.onnx
"2023-05-10 14:38:21,352 [INFO] EPISODE 90, LOSS 0.2434852421283722
