"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:13:46,971 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/0.onnx
"2023-05-10 15:13:46,971 [INFO] ===== Saved non-trained network
"2023-05-10 15:13:46,971 [INFO] EPISODE 0, LOSS 3.0398435592651367
"2023-05-10 15:13:47,205 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/2.onnx
"2023-05-10 15:13:47,259 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/7.onnx
"2023-05-10 15:13:47,283 [INFO] EPISODE 10, LOSS 3.3105063438415527
"2023-05-10 15:13:47,356 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/11.onnx
"2023-05-10 15:13:47,372 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/12.onnx
"2023-05-10 15:13:47,388 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/13.onnx
"2023-05-10 15:13:47,449 [INFO] EPISODE 20, LOSS 0.7102082967758179
"2023-05-10 15:13:47,552 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/24.onnx
"2023-05-10 15:13:47,602 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/28.onnx
"2023-05-10 15:13:47,622 [INFO] EPISODE 30, LOSS 0.7689862251281738
"2023-05-10 15:13:47,712 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/34.onnx
"2023-05-10 15:13:47,746 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/37.onnx
"2023-05-10 15:13:47,774 [INFO] EPISODE 40, LOSS 0.2902725338935852
"2023-05-10 15:13:47,841 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/41.onnx
"2023-05-10 15:13:47,857 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/42.onnx
"2023-05-10 15:13:47,888 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/44.onnx
"2023-05-10 15:13:47,941 [INFO] EPISODE 50, LOSS 0.3103843927383423
