"2023-05-10 00:19:56,592 [INFO] Reporter Initialized!
"2023-05-10 00:19:56,593 [INFO] Reporter LEVEL: info
"2023-05-10 00:19:56,595 [INFO] Usung random data
"2023-05-10 00:19:56,717 [INFO] None
"2023-05-10 00:19:56,717 [INFO] Device(cpu) is working for train
"2023-05-10 00:19:56,718 [INFO] Train Started
"2023-05-10 00:19:57,590 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/0.onnx
"2023-05-10 00:19:57,591 [INFO] ===== Saved non-trained network
"2023-05-10 00:19:57,591 [INFO] EPISODE 0, LOSS 2.874460220336914
"2023-05-10 00:19:59,954 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/10.onnx
"2023-05-10 00:19:59,954 [INFO] EPISODE 10, LOSS 2.476022720336914
"2023-05-10 00:20:00,182 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/11.onnx
"2023-05-10 00:20:00,262 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/14.onnx
"2023-05-10 00:20:00,317 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/15.onnx
"2023-05-10 00:20:00,411 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/19.onnx
"2023-05-10 00:20:00,426 [INFO] EPISODE 20, LOSS 2.7169036865234375
"2023-05-10 00:20:00,781 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/26.onnx
"2023-05-10 00:20:00,847 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/28.onnx
"2023-05-10 00:20:00,879 [INFO] EPISODE 30, LOSS 1.6769698858261108
"2023-05-10 00:20:01,155 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/37.onnx
"2023-05-10 00:20:01,214 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/38.onnx
"2023-05-10 00:20:01,249 [INFO] EPISODE 40, LOSS 0.4927290678024292
"2023-05-10 00:20:01,531 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/48.onnx
"2023-05-10 00:20:01,603 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/50.onnx
"2023-05-10 00:20:01,604 [INFO] EPISODE 50, LOSS 0.23237885534763336
"2023-05-10 00:20:01,898 [INFO] EPISODE 60, LOSS 0.4471437931060791
"2023-05-10 00:20:02,152 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/63.onnx
"2023-05-10 00:20:02,213 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/64.onnx
"2023-05-10 00:20:02,299 [INFO] EPISODE 70, LOSS 0.1971484273672104
"2023-05-10 00:20:02,579 [INFO] EPISODE 80, LOSS 0.257203072309494
"2023-05-10 00:20:02,815 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/82.onnx
"2023-05-10 00:20:02,974 [INFO] EPISODE 90, LOSS 0.32110002636909485
"2023-05-10 00:20:03,345 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/95.onnx
"2023-05-10 00:20:03,409 [INFO] EPISODE 100, LOSS 0.25766927003860474
"2023-05-10 00:20:03,676 [INFO] EPISODE 110, LOSS 0.3976166546344757
"2023-05-10 00:20:03,936 [INFO] EPISODE 120, LOSS 0.31537556648254395
"2023-05-10 00:20:04,196 [INFO] EPISODE 130, LOSS 0.19564025104045868
"2023-05-10 00:20:04,453 [INFO] EPISODE 140, LOSS 0.1579042226076126
"2023-05-10 00:20:04,727 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/147.onnx
"2023-05-10 00:20:04,771 [INFO] EPISODE 150, LOSS 0.14865827560424805
"2023-05-10 00:20:04,996 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/152.onnx
"2023-05-10 00:20:05,091 [INFO] EPISODE 160, LOSS 0.23905740678310394
"2023-05-10 00:20:05,358 [INFO] EPISODE 170, LOSS 0.2515798509120941
"2023-05-10 00:20:05,622 [INFO] EPISODE 180, LOSS 0.14145717024803162
"2023-05-10 00:20:05,885 [INFO] EPISODE 190, LOSS 0.23608464002609253
"2023-05-10 00:20:06,155 [INFO] EPISODE 200, LOSS 0.10971143841743469
"2023-05-10 00:20:06,417 [INFO] EPISODE 210, LOSS 0.17031331360340118
"2023-05-10 00:20:06,682 [INFO] EPISODE 220, LOSS 0.2440771907567978
"2023-05-10 00:20:07,019 [INFO] EPISODE 230, LOSS 0.311890572309494
"2023-05-10 00:20:07,276 [INFO] EPISODE 240, LOSS 0.20423151552677155
"2023-05-10 00:20:07,530 [INFO] EPISODE 250, LOSS 0.17808185517787933
"2023-05-10 00:20:07,819 [INFO] EPISODE 260, LOSS 0.2194996327161789
"2023-05-10 00:20:08,081 [INFO] EPISODE 270, LOSS 0.18689601123332977
"2023-05-10 00:20:08,339 [INFO] EPISODE 280, LOSS 0.1859496831893921
"2023-05-10 00:20:08,553 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/282.onnx
"2023-05-10 00:20:08,652 [INFO] EPISODE 290, LOSS 0.25920405983924866
"2023-05-10 00:20:08,912 [INFO] EPISODE 300, LOSS 0.15476663410663605
"2023-05-10 00:20:09,173 [INFO] EPISODE 310, LOSS 0.3940325975418091
"2023-05-10 00:20:09,446 [INFO] EPISODE 320, LOSS 0.17878562211990356
"2023-05-10 00:20:09,706 [INFO] EPISODE 330, LOSS 0.2805832624435425
"2023-05-10 00:20:09,964 [INFO] EPISODE 340, LOSS 0.1981489658355713
"2023-05-10 00:20:10,228 [INFO] EPISODE 350, LOSS 0.19299741089344025
"2023-05-10 00:20:10,492 [INFO] EPISODE 360, LOSS 0.37339869141578674
"2023-05-10 00:20:10,754 [INFO] EPISODE 370, LOSS 0.18641705811023712
"2023-05-10 00:20:11,013 [INFO] EPISODE 380, LOSS 0.15424378216266632
"2023-05-10 00:20:11,236 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/382.onnx
"2023-05-10 00:20:11,330 [INFO] EPISODE 390, LOSS 0.160858616232872
"2023-05-10 00:20:11,591 [INFO] EPISODE 400, LOSS 0.23051714897155762
